Species,Abbreviations,Period,Group,FAD_Ma,LAD_Ma,Body_mass_mg,Body_mass_g,Brain_volume_cm3,Brain_volume_mm3,Olfactory_bulbs_mm3,Petrosal_lobules_mm3,Neocortex_surface_mm2,Brain_surface_mm2,OB_percentage,PL_percentage,Neorcortex_surface_percentage,Period2,Order,Collection number,Status,NALMA/SALMA/ELMA/ALMA
Diacodexis_ilicis,Di_il,Eocene,Eocene crown groups,56,54.5,829500,829.5,4.7,4700,320,36.6053,NA,1926.37,6.808510638,0.77883617,NA,early Eocene,Artiodactyla,AMNH VP 16141,literature,Wasatchian Wa0-Wa3
Bathygenys_reevesi,Ba_re,Eocene,Eocene crown groups,37.8,36.2,2389970,2389.97,14.36,14360,455,NA,NA,NA,3.168523677,NA,NA,late Eocene,Artiodactyla,TMM 40209-198,literature,early Chadronian Ch1
Protylopus_sp.,Pr_sp,Eocene,Eocene crown groups,47.9,37.8,2600000,2600,13,13000,NA,NA,NA,NA,NA,NA,NA,middle Eocene,Artiodactyla,FM P 12203,literature,Uintan-Duchesnean
Eotylopus_sp.,Eo_sp,Eocene,Eocene crown groups,39.8,33.9,10000000,10000,22,22000,NA,NA,NA,NA,NA,NA,NA,middle to late Eocene,Artiodactyla,UT 40504-1,literature,Duchesnean-Chadronian
Diplobune_sp.,Di_sp,Eocene,Eocene crown groups,37,30,40000000,40000,53,53000,NA,NA,NA,NA,NA,NA,NA,late Eocene to early Oligocene,Artiodactyla,MH (1092) - Paris,literature,Headonian and Suevian (MP18-MP23)
Dacrytherium_sp.,Da_sp,Eocene,Eocene crown groups,40.1,35,12000000,12000,35,35000,NA,NA,NA,NA,NA,NA,NA,late middle to late Eocene,Artiodactyla,MH (1091) - Paris,literature,Robiacian and Headonian (MP16-MP18)
Anoplotherium_sp.,An_sp,Eocene,Eocene crown groups,37,33.75,82000000,82000,80,80000,NA,NA,NA,NA,NA,NA,NA,late Eocene,Artiodactyla,MH (1092) - Paris,literature,Headonian (MP18-MP20)
Protoreodon_petersoni,Pr_pe,Eocene,Eocene crown groups,42.8,39.8,7549060,7549.06,24,24000,NA,NA,NA,NA,NA,NA,NA,late Eocene,Artiodactyla,UT 31281-4,literature,Uintan Ui3
Robiacina_lavergnensis,Ro_la,Eocene,Eocene crown groups,37.8,33.9,397000,397,2.5,2500,90,NA,NA,NA,3.6,NA,NA,late Eocene,Artiodactyla,UM2 ACQ 69,literature,lower Ludian (used Priabonian)
Dichobune_leporina,Di_le,Eocene,Eocene crown groups,37.8,33.9,4556000,4556,15.844,15844,1218,NA,NA,NA,7.687452663,NA,NA,late Eocene,Artiodactyla,MNHN Qu 16586,literature,?upper Ludian (used Priabonian)
